field,file,year,dimmsee (arcsec),dimm2see (arcsec),magzpt,exp (S),type
Antlia,c4d_170205_085601_ooi_i_v1,2017,nan,nan,25.506,132.0,image
Antlia,c4d_170205_085320_ooi_i_v1,2017,nan,nan,25.481,132.0,image
Antlia,c4d_170203_084538_ooi_i_v1,2017,nan,nan,25.398,132.0,image
Antlia,c4d_170203_084818_ooi_i_v1,2017,nan,nan,25.36,132.0,image
Antlia,c4d_170205_090940_ooi_i_v1,2017,nan,nan,25.5,132.0,image
Antlia,c4d_170205_085040_ooi_i_v1,2017,nan,nan,25.488,132.0,image
Antlia,c4d_170203_084301_ooi_i_v1,2017,nan,nan,25.375,132.0,image
Antlia,c4d_170203_083731_ooi_i_v1,2017,nan,nan,25.469,132.0,image
Antlia,c4d_170205_084520_ooi_i_v1,2017,nan,nan,25.466,132.0,image
Antlia,c4d_170203_084015_ooi_i_v1,2017,nan,nan,25.461,132.0,image
Antlia,c4d_170205_084800_ooi_i_v1,2017,nan,nan,25.467,132.0,image
